# Forces        
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time          forces(pressure viscous porous)	moments(pressure viscous porous)
2.55            	((1.44512692e+00 -7.59400099e-09 7.42124632e-21) (9.89502516e-01 1.73386668e-08 -4.50811123e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((7.40296570e-20 -7.02246030e-21 2.12546994e-15) (-6.08993833e-20 7.55628702e-23 2.17902260e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
2.6             	((1.44420461e+00 -5.93938243e-09 7.39409423e-21) (9.85568390e-01 1.71447537e-08 -4.58909581e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((7.46943809e-20 -7.02587931e-21 2.06995879e-15) (-6.08376916e-20 7.62451756e-23 2.22192090e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
2.65            	((1.44327840e+00 -4.33502900e-09 7.36729938e-21) (9.81774395e-01 1.69392767e-08 -4.66402838e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((7.53367971e-20 -7.02911247e-21 2.04176953e-15) (-6.07769524e-20 7.68720112e-23 2.26168991e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
2.7             	((1.44234632e+00 -2.78317366e-09 7.34085197e-21) (9.78112803e-01 1.67225758e-08 -4.73323650e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((7.59575284e-20 -7.03215469e-21 1.96695958e-15) (-6.07169854e-20 7.74463876e-23 2.29811707e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
2.75            	((1.44140669e+00 -1.29343520e-09 7.31474256e-21) (9.74576424e-01 1.64952361e-08 -4.79703276e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((7.65571941e-20 -7.03500229e-21 1.90884634e-15) (-6.06576575e-20 7.79711837e-23 2.33104411e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
2.8             	((1.44045814e+00 1.22030296e-10 7.28896208e-21) (9.71158558e-01 1.62578733e-08 -4.85571375e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((7.71364078e-20 -7.03765264e-21 1.85897304e-15) (-6.05988523e-20 7.84491345e-23 2.36030894e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
2.85            	((1.43949955e+00 1.45113941e-09 7.26350226e-21) (9.67852956e-01 1.60111509e-08 -4.90956628e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((7.76957769e-20 -7.04010447e-21 1.79110199e-15) (-6.05404713e-20 7.88828916e-23 2.38572503e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
2.9             	((1.43853006e+00 2.67960640e-09 7.23835522e-21) (9.64653789e-01 1.57557725e-08 -4.95885473e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((7.82359074e-20 -7.04235747e-21 1.73494032e-15) (-6.04824409e-20 7.92748965e-23 2.40704890e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
2.95            	((1.43754904e+00 3.79609287e-09 7.21351353e-21) (9.61555610e-01 1.54926495e-08 -5.00383182e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((7.87573922e-20 -7.04441222e-21 1.67595972e-15) (-6.04246998e-20 7.96274864e-23 2.42392946e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
3               	((1.43655598e+00 4.78931904e-09 7.18896995e-21) (9.58553324e-01 1.52229944e-08 -5.04473559e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((7.92608120e-20 -7.04626973e-21 1.61719596e-15) (-6.03672005e-20 7.99428629e-23 2.43581876e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
