# Force coefficients
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 2.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
9.5             	-4.23691632e-09	2.12853225e+00	3.76104512e-07	1.83815340e-07	1.92289172e-07
9.55            	-4.37244514e-09	2.12749131e+00	3.69141493e-07	1.80198302e-07	1.88943192e-07
9.6             	-4.50391208e-09	2.12645929e+00	3.62271689e-07	1.76631932e-07	1.85639756e-07
9.65            	-4.63194594e-09	2.12543610e+00	3.55491897e-07	1.73114003e-07	1.82377894e-07
9.7             	-4.75698237e-09	2.12442167e+00	3.48812222e-07	1.69649129e-07	1.79163093e-07
9.75            	-4.87915807e-09	2.12341590e+00	3.44731052e-07	1.67486368e-07	1.77244684e-07
9.8             	-5.00056225e-09	2.12241871e+00	3.36153913e-07	1.63076394e-07	1.73077519e-07
9.85            	-5.11943314e-09	2.12143002e+00	3.30176734e-07	1.59968934e-07	1.70207800e-07
9.9             	-5.23614727e-09	2.12044973e+00	3.23776590e-07	1.56652148e-07	1.67124442e-07
9.95            	-5.35069821e-09	2.11947777e+00	3.17563612e-07	1.53431108e-07	1.64132504e-07
10              	-5.46318549e-09	2.11851405e+00	3.11499674e-07	1.50286651e-07	1.61213022e-07
10.05           	-5.57372223e-09	2.11755850e+00	3.05569858e-07	1.47211207e-07	1.58358651e-07
10.1            	-5.68240508e-09	2.11661103e+00	2.99775290e-07	1.44205240e-07	1.55570050e-07
10.15           	-5.78931162e-09	2.11567157e+00	2.94115024e-07	1.41268201e-07	1.52846824e-07
10.2            	-5.89450497e-09	2.11474005e+00	2.88586773e-07	1.38398881e-07	1.50187891e-07
10.25           	-5.99803468e-09	2.11381637e+00	2.83190718e-07	1.35597324e-07	1.47593394e-07
10.3            	-6.10282344e-09	2.11290041e+00	2.51413450e-07	1.19603902e-07	1.31809548e-07
10.35           	-6.18606943e-09	2.11199222e+00	2.67320469e-07	1.27474165e-07	1.39846304e-07
10.4            	-6.26880991e-09	2.11109167e+00	2.57093831e-07	1.22278106e-07	1.34815725e-07
10.45           	-6.33863261e-09	2.11019787e+00	3.80153706e-07	1.83738220e-07	1.96415485e-07
10.5            	-6.44586571e-09	2.10931294e+00	2.46107056e-07	1.16607663e-07	1.29499394e-07
10.55           	-6.52037256e-09	2.10843470e+00	2.80862044e-07	1.33910650e-07	1.46951395e-07
10.6            	-6.60032718e-09	2.10756397e+00	2.72229873e-07	1.29514609e-07	1.42715264e-07
