# Region type : patch outlet
#     Faces  : 10
#     Area   : 9.65749567e-02
#          Time	max(U)	max(p)
          13.35	(1.32437053e+00 6.67479658e-09 0.00000000e+00)	0.00000000e+00
           13.4	(1.32672855e+00 6.71799204e-09 0.00000000e+00)	0.00000000e+00
          13.45	(1.32907434e+00 6.74165274e-09 0.00000000e+00)	0.00000000e+00
           13.5	(1.33140796e+00 6.74417718e-09 0.00000000e+00)	0.00000000e+00
          13.55	(1.33372948e+00 6.72384699e-09 0.00000000e+00)	0.00000000e+00
           13.6	(1.33603895e+00 6.67359275e-09 0.00000000e+00)	0.00000000e+00
          13.65	(1.33833644e+00 6.59299052e-09 0.00000000e+00)	0.00000000e+00
           13.7	(1.34062203e+00 6.48447392e-09 0.00000000e+00)	0.00000000e+00
          13.75	(1.34289576e+00 6.34008679e-09 0.00000000e+00)	0.00000000e+00
           13.8	(1.34515770e+00 6.15771270e-09 0.00000000e+00)	0.00000000e+00
          13.85	(1.34740792e+00 5.93092560e-09 0.00000000e+00)	0.00000000e+00
           13.9	(1.34964648e+00 5.67295197e-09 0.00000000e+00)	0.00000000e+00
          13.95	(1.35187344e+00 5.35704605e-09 0.00000000e+00)	0.00000000e+00
             14	(1.35408887e+00 5.75267964e-09 0.00000000e+00)	0.00000000e+00
          14.05	(1.35629282e+00 7.23657635e-09 0.00000000e+00)	0.00000000e+00
           14.1	(1.35848535e+00 8.87104976e-09 0.00000000e+00)	0.00000000e+00
          14.15	(1.36066653e+00 1.06651559e-08 0.00000000e+00)	0.00000000e+00
           14.2	(1.36283641e+00 1.26250178e-08 0.00000000e+00)	0.00000000e+00
          14.25	(1.36499506e+00 1.47595948e-08 0.00000000e+00)	0.00000000e+00
           14.3	(1.36714254e+00 1.70739781e-08 0.00000000e+00)	0.00000000e+00
          14.35	(1.36927890e+00 1.95751579e-08 0.00000000e+00)	0.00000000e+00
           14.4	(1.37140421e+00 2.22707148e-08 0.00000000e+00)	0.00000000e+00
          14.45	(1.37351852e+00 2.51663296e-08 0.00000000e+00)	0.00000000e+00
           14.5	(1.37562190e+00 2.82678393e-08 0.00000000e+00)	0.00000000e+00
          14.55	(1.37771439e+00 3.15797711e-08 0.00000000e+00)	0.00000000e+00
           14.6	(1.37979606e+00 3.51014853e-08 0.00000000e+00)	0.00000000e+00
          14.65	(1.38186697e+00 3.88386940e-08 0.00000000e+00)	0.00000000e+00
           14.7	(1.38392717e+00 4.27940416e-08 0.00000000e+00)	0.00000000e+00
          14.75	(1.38597672e+00 4.69694724e-08 0.00000000e+00)	0.00000000e+00
           14.8	(1.38801568e+00 5.13659797e-08 0.00000000e+00)	0.00000000e+00
          14.85	(1.39004410e+00 5.59838259e-08 0.00000000e+00)	0.00000000e+00
           14.9	(1.39206203e+00 6.08224958e-08 0.00000000e+00)	0.00000000e+00
          14.95	(1.39406954e+00 6.58806972e-08 0.00000000e+00)	0.00000000e+00
             15	(1.39606668e+00 7.11563954e-08 0.00000000e+00)	0.00000000e+00
          15.05	(1.39805351e+00 7.66468196e-08 0.00000000e+00)	0.00000000e+00
           15.1	(1.40003007e+00 8.23484929e-08 0.00000000e+00)	0.00000000e+00
          15.15	(1.40199643e+00 8.82572674e-08 0.00000000e+00)	0.00000000e+00
           15.2	(1.40395264e+00 9.43683649e-08 0.00000000e+00)	0.00000000e+00
          15.25	(1.40589874e+00 1.00676421e-07 0.00000000e+00)	0.00000000e+00
           15.3	(1.40783480e+00 1.07175536e-07 0.00000000e+00)	0.00000000e+00
          15.35	(1.40976088e+00 1.13859322e-07 0.00000000e+00)	0.00000000e+00
           15.4	(1.41167701e+00 1.20720959e-07 0.00000000e+00)	0.00000000e+00
          15.45	(1.41358325e+00 1.27753249e-07 0.00000000e+00)	0.00000000e+00
           15.5	(1.41547967e+00 1.34948670e-07 0.00000000e+00)	0.00000000e+00
          15.55	(1.41736630e+00 1.42299430e-07 0.00000000e+00)	0.00000000e+00
